Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
-0.001023458,-0.579295349,0.967138824,9.571096802,9.637262817
0.009027542,-0.521365814,0.964594116,9.5233461,9.586260223
0.019079542,-0.503403168,0.942140808,9.577234039,9.636620564
0.029131542,-0.521515503,0.894839172,9.695937195,9.751098074
0.039183542,-0.497864685,0.868943024,9.704469452,9.756006282
0.049235542,-0.46104126,0.871487732,9.561067657,9.61176699
0.059286542,-0.434845734,0.882115631,9.3455159,9.397121167
0.069338542,-0.404758301,0.88690567,9.181906128,9.233516724
0.079390542,-0.400417328,0.878373413,9.180259552,9.230874245
0.089442542,-0.392184448,0.871637421,9.212292938,9.261743983
0.099493542,-0.415086823,0.845741272,9.272318115,9.320056792
0.109545542,-0.447120209,0.818647614,9.393565979,9.439766003
0.119597542,-0.454754333,0.796343994,9.608968048,9.652628254
0.129649542,-0.517623596,0.741557922,9.915829926,9.956983753
0.139701542,-0.470172272,0.74305481,10.2068248,10.24463103
0.149752542,-0.404009857,0.763262787,10.17060013,10.20719849
0.159804542,-0.44233017,0.754880219,10.03737717,10.07543748
0.169856542,-0.474363556,0.799487457,9.999954987,10.04307227
0.179908542,-0.477507019,0.83421524,9.987081757,10.03323129
0.189960542,-0.486488342,0.827479248,9.927954712,9.974250727
0.200011542,-0.494721222,0.770447845,9.84278183,9.885276583
0.210063542,-0.433199158,0.744551697,9.784852295,9.82269582
0.220115542,-0.375718689,0.768501892,9.697733459,9.735388741
0.230167542,-0.37796402,0.742306366,9.549691315,9.585952209
0.240219542,-0.415535889,0.716559906,9.479786682,9.515906878
0.250270542,-0.467627563,0.692759399,9.48592392,9.52267524
0.260322542,-0.483943634,0.656085663,9.572743378,9.607396401
0.270374542,-0.414338379,0.64006897,9.676777039,9.706769722
0.280426542,-0.375269623,0.606688385,9.775122528,9.801118228
0.290478542,-0.36149826,0.592467957,9.806257782,9.830787911
0.300529542,-0.308358765,0.621507568,9.846074982,9.870488809
0.310581542,-0.284707947,0.643362122,9.846524048,9.871626475
0.320633542,-0.321980438,0.671054535,9.800569611,9.828791904
0.330685542,-0.369282074,0.705632629,9.742640076,9.775137968
0.340737542,-0.387394409,0.728385315,9.748477936,9.783324673
0.350788542,-0.419727173,0.72658905,9.772128754,9.808088648
0.360840542,-0.404608612,0.727636871,9.754615173,9.790080731
0.370892542,-0.396824799,0.715063019,9.744735718,9.778990707
0.380944542,-0.417930908,0.705782318,9.752220154,9.786653813
0.390996542,-0.443976746,0.721200256,9.786498871,9.823075145
0.401047542,-0.396824799,0.719403992,9.793683929,9.82808511
0.411099542,-0.404758301,0.720002747,9.775421906,9.810255179
0.421151542,-0.41074585,0.674796753,9.739496613,9.771481826
0.431203542,-0.340092773,0.667162628,9.725425873,9.754213319
0.441255542,-0.373024292,0.666713562,9.744136963,9.774040068
0.451306542,-0.4352948,0.639170837,9.764644318,9.795218199
0.461358542,-0.374820557,0.596210175,9.77721817,9.802548249
0.471410542,-0.323776703,0.579295349,9.75266922,9.775222318
0.481462542,-0.319585419,0.555345154,9.709858246,9.730975811
0.491514542,-0.330512695,0.584833832,9.71868988,9.741878784
0.501565542,-0.324974213,0.625549164,9.792187042,9.817527543
0.511617542,-0.334254913,0.613274689,9.823322296,9.848121299
0.521669542,-0.325872345,0.606838074,9.794582062,9.81877197
0.531721542,-0.360600128,0.626147919,9.765093384,9.791789543
0.541773542,-0.388292542,0.646355896,9.768536224,9.79759394
0.551824542,-0.372425537,0.661474457,9.764794006,9.794256032
0.561876542,-0.328267365,0.661624146,9.801916809,9.829703917
0.571928542,-0.301622772,0.644859009,9.793384552,9.81922606
0.581980542,-0.313148804,0.645607452,9.762249298,9.788584296
0.592031542,-0.332608337,0.653840332,9.715845795,9.743500141
0.602083542,-0.338446198,0.662971344,9.695787506,9.724318598
0.612135542,-0.370030518,0.647254028,9.691596222,9.72023136
0.622187542,-0.409099274,0.647553406,9.728569336,9.758675574
0.632239542,-0.339943085,0.613873444,9.764045563,9.789228144
0.642290542,-0.283809814,0.594862976,9.783505096,9.805681106
0.652342542,-0.287701721,0.577349396,9.793534241,9.814755093
0.662394542,-0.329015808,0.578995972,9.844727783,9.867226199
0.672446542,-0.381556549,0.612526245,9.898316345,9.924587663
0.682498542,-0.4153862,0.59201889,9.956545258,9.982776444
0.692549542,-0.431103516,0.584684143,9.974208527,10.00062706
0.702601542,-0.482746124,0.571212158,10.0753981,10.10311705
0.712653542,-0.586031342,0.556842041,10.43001068,10.46129192
