Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.000493083,-1.141526184,0.271834717,9.288783875,9.362610854
0.010545083,-1.239572296,0.289947052,9.301657104,9.388366933
0.020597083,-1.334774323,0.354462891,9.427994385,9.528606643
0.030648083,-1.362317047,0.374072113,9.747280426,9.849127544
0.040700083,-1.154100037,0.373173981,9.890233154,9.964332269
0.050752083,-0.882714386,0.368084564,9.841284943,9.887646851
0.060804083,-0.731229401,0.301473083,9.735604706,9.767680454
0.070856083,-0.668659515,0.210312653,9.580527191,9.606135447
0.080907083,-0.780177612,0.127235413,9.620194702,9.652616851
0.090959083,-0.872535553,0.168250122,9.781409454,9.821690145
0.101011083,-0.862207031,0.303119659,9.879305878,9.921490166
0.111063083,-0.847537537,0.418829041,9.947563934,9.992385394
0.121115083,-0.865200806,0.447120209,9.880503387,9.928385372
0.131166083,-0.888552246,0.423020325,9.830357666,9.879494073
0.141218083,-0.865649872,0.415984955,9.749226379,9.79641813
0.151270083,-0.796044617,0.400567017,9.648186493,9.689254025
0.161322083,-0.760718079,0.402213593,9.602531433,9.641010201
0.171374083,-0.740061035,0.416434021,9.61345871,9.650890943
0.181426083,-0.799337769,0.410147095,9.705966339,9.74745834
0.191477083,-0.8798703,0.411793671,9.755962372,9.804210706
0.201529083,-0.97821579,0.399519196,9.778864746,9.835787586
0.211581083,-1.08584198,0.404458923,9.75147171,9.820073337
0.221633083,-0.934806061,0.413140869,9.737101593,9.790592177
0.231685083,-0.848884735,0.364641724,9.73859848,9.782324327
0.241736083,-0.919088745,0.284258881,9.674831085,9.722545128
0.251788083,-1.00036972,0.207618256,9.632768555,9.686799004
0.261840083,-0.993334351,0.199984131,9.657317505,9.710328943
0.271892083,-0.943488007,0.211210785,9.624236298,9.672678219
0.281944083,-0.924028473,0.210911407,9.58771225,9.634445413
0.291995083,-0.868344269,0.19893631,9.548044739,9.589512801
0.302047083,-0.836759949,0.149239655,9.536668396,9.574470418
0.312099083,-0.793200531,0.096698914,9.587263184,9.620505866
0.322151083,-0.750688934,0.099393311,9.64624054,9.675916983
0.332203083,-0.762963409,0.113763428,9.644743652,9.675543158
0.342254083,-0.770597534,0.164807281,9.585466919,9.617804222
0.352306083,-0.77344162,0.182021484,9.581275635,9.614165931
0.362359292,-0.834514618,0.1977388,9.606872406,9.645077123
0.372411292,-0.83900528,0.25162674,9.617350616,9.657156867
0.382463292,-0.806373138,0.300275574,9.56540863,9.604032764
0.392514292,-0.819695435,0.268691254,9.514963531,9.553984855
0.402566292,-0.725391541,0.276475067,9.465266876,9.497047351
0.412618292,-0.626297607,0.317190399,9.460476837,9.486489363
0.422670292,-0.668809204,0.377065887,9.501341858,9.532312497
0.432722292,-0.870140533,0.398171997,9.485175476,9.533322574
0.442774292,-1.128353577,0.390238495,9.4437117,9.518884313
0.452825292,-1.268462219,0.30895752,9.341623993,9.432411673
0.462877292,-1.112486572,0.432600403,9.414372711,9.489740936
0.472929292,-0.737366638,0.661474457,9.766590271,9.816697181
0.482981292,-0.781375122,0.489931183,9.519304504,9.563876719
0.493033292,-0.742156677,0.197289734,8.986412659,9.01916472
0.503084292,-0.58857605,0.010927277,9.054221649,9.073338462
0.513136292,-0.454155579,-0.172142029,9.501192169,9.513597784
0.523188292,-0.278870087,-0.30895752,9.874964905,9.883731843
0.533240292,0.014968872,-0.356408844,10.05489075,10.06121659
0.543292292,0.128133545,-0.449664917,10.16670822,10.17745414
0.553343292,0.096399536,-0.556542664,10.20053787,10.21616393
0.563395292,0.097896423,-0.614621887,10.10713211,10.12627588
0.573447292,0.122744751,-0.672701111,10.00444565,10.02778768
0.583499292,0.277373199,-0.744551697,9.844428406,9.876439832
0.593551292,0.550106049,-0.746048584,9.856104126,9.899595633
0.603602292,0.706530762,-0.732875977,10.05893234,10.1103122
0.613654292,0.79799057,-0.749341736,10.26355682,10.32176829
0.623706292,0.928219757,-0.546363831,10.75214081,10.80595379
0.633758292,1.108145599,-0.319286041,11.3321846,11.3907128
0.643810292,1.167422333,-0.340392151,11.44070892,11.50515373
0.653861292,0.889001312,-0.62480072,10.76321777,10.81792753
0.663913292,0.47151947,-0.83661026,9.724228363,9.77153338
0.673965292,0.193397827,-0.784518585,8.741521912,8.778785648
0.684017292,0.104333038,-0.533340912,7.952961731,7.9715079
0.694069292,0.227526855,-0.118852844,7.725584564,7.729848079
0.704120292,0.463735657,0.159568176,7.931256866,7.946404737
0.714172292,0.674347687,0.304766235,8.20458847,8.237894102
0.724224292,0.797840881,0.318387909,8.472381592,8.515818855
0.734276292,0.770447845,0.066012726,8.636290741,8.670839943
0.744328292,0.744701385,0.003293152,8.568032684,8.600335754
0.754379292,0.832868042,0.126037903,8.71951767,8.760110908
0.764431292,0.842897186,0.251327362,9.034163361,9.076879901
0.774483292,0.894390106,0.398171997,9.267827454,9.319393774
0.784535292,0.936153259,0.536334686,9.273365936,9.335917395
0.794587292,0.849333801,0.550555115,9.317823486,9.372636415
0.804639292,0.717458038,0.487685852,9.40284668,9.442780799
0.814690292,0.580941925,0.442030792,9.357490997,9.385921505
0.824742292,0.474962311,0.466130676,9.303603058,9.327373524
0.834794292,0.476908264,0.56627243,9.223220215,9.252885879
0.844846292,0.598455505,0.660726013,9.157506866,9.20079561
0.854898292,0.715512085,0.598006439,9.111103363,9.158699347
0.864949292,0.840951233,0.411943359,9.204808502,9.252318405
0.875001292,1.05425766,0.273032227,9.31737442,9.380803372
0.885053292,1.236129456,0.220940552,9.390422516,9.474010016
0.895105292,1.370100861,0.174237671,9.547146606,9.646530125
0.905157292,1.478026428,0.188757477,9.730215912,9.843642273
0.915208292,1.556912384,0.284109192,9.776469727,9.903739421
0.925260292,1.616338806,0.432301025,9.6812677,9.824783947
0.935312292,1.676813049,0.569565582,9.627978516,9.7894881
0.945364292,1.61708725,0.465531921,9.484127655,9.632256668
0.955416292,1.118324432,-0.054486694,9.094787292,9.163447726
0.965467292,1.281485138,0.240849152,8.569828949,8.668458957
0.975519292,1.507814484,0.814156952,8.35786972,8.531725636
0.985571292,1.457219696,1.422342224,8.106093292,8.35794802
0.995623292,1.198707275,1.697919159,7.726183319,8.000858534
1.005675292,1.201401672,1.609453125,7.443421326,7.709619081
1.015726292,1.502276001,1.315913544,7.224277039,7.495241181
1.025778292,1.644180908,0.944984894,7.320826263,7.562461536
1.035830292,1.672771454,0.620010681,7.581584015,7.788645181
1.045882292,1.706451416,0.315992889,8.004454651,8.190428694
1.055934292,1.50122818,0.118403778,8.447084198,8.580264387
1.065985292,1.490001526,0.227077789,8.271798706,8.407991597
1.076037292,1.920955353,0.271834717,7.802374878,8.039963763
1.086089292,2.439776459,0.145946503,7.748037872,8.124401542
1.096141292,2.853366394,0.137713623,7.643704834,8.160078946
1.106193292,3.266507263,0.278271332,7.451953583,8.141198734
1.116244292,3.504063263,0.628992004,7.506290588,8.307736677
1.126296292,3.789968719,0.900078278,7.517517242,8.466821676
1.136348292,3.982767792,1.160087585,7.534731445,8.601187153
1.146400292,4.167783051,1.528321838,7.730524292,8.914437112
1.156452292,4.392166443,1.983076172,8.020770721,9.35716197
1.166503292,4.350103912,2.314636688,8.597371674,9.909376708
1.176555292,4.4006987,2.212998047,9.217082977,10.45074773
1.186607292,4.951104126,1.887425079,9.745484161,11.09280249
1.196659292,6.098318481,1.717229004,9.976453857,11.81812148
1.206711292,7.420968018,1.726509705,9.489815826,12.16997151
1.216762292,8.303682404,1.511107635,8.647367706,12.08352415
1.226814292,7.77168869,1.012344818,8.25847641,11.38535989
1.236866292,6.281986542,0.640817413,8.011040955,10.20052837
1.246918292,5.136568451,0.605490875,7.859406281,9.408571716
1.256970292,4.297114105,0.770298157,8.227640533,9.314108526
1.267021292,3.591182098,1.25199646,9.107810211,9.869969141
1.277073292,3.347937927,1.689386902,9.97151413,10.65334739
1.287125292,3.47277832,1.819316711,10.44617706,11.15763047
1.297177292,3.771557007,1.886526947,10.9102121,11.69685232
1.307229292,3.980223083,1.843416595,10.94658646,11.79271451
1.317280292,4.084556122,1.787582703,10.53883438,11.44316743
1.327332292,3.690276031,2.147434387,9.860744476,10.74541266
1.337384292,3.495381317,2.409090271,9.711355133,10.59867091
1.347436292,3.689677277,2.202819214,8.708740082,9.711245271
1.357487708,2.89123764,2.186203766,7.67693573,8.489645705
1.367538708,2.104024658,2.378404083,7.430997162,8.081054669
1.377590708,1.637594604,2.605032806,7.494614868,8.101676619
1.387642708,1.381177826,2.83046402,7.510481873,8.144109326
1.397694708,1.368304596,2.862347717,7.595505066,8.231463365
1.407746708,1.387464752,2.536026306,7.825426941,8.342289534
1.417797708,1.496438141,2.033670959,8.048912201,8.435646525
1.427849708,1.881886597,1.486858063,8.358618164,8.69590373
1.437901708,2.438728638,1.024768982,8.557105408,8.95665126
1.447953708,3.002306671,0.949325867,8.330177307,8.905443218
1.458005708,3.561543732,0.923280029,8.503816223,9.265631663
1.468056708,3.694916382,0.954714661,9.648336182,10.37565797
1.478108708,3.310665436,1.096170502,10.30202682,10.87629772
1.488160708,2.946472778,1.22625,11.28293701,11.72561549
1.498212708,2.366878052,1.315763855,12.19993011,12.49686525
1.508264708,1.871857452,1.332828369,12.84808228,13.05195387
1.518315708,1.469344482,1.081051941,13.11288162,13.23915824
1.528367708,1.170715485,0.715961151,13.10584625,13.17749525
1.538419708,1.202000427,0.49382309,13.16781738,13.23178298
1.548471708,1.539997559,0.514031067,13.10225372,13.20245708
1.558523708,2.193538513,0.61192749,11.61973663,11.84079161
1.568574708,2.775378571,0.870439911,10.64810715,11.03823254
1.578626708,2.681224365,1.198407898,11.37185211,11.74496343
1.588678708,2.008223877,1.132844238,11.07591751,11.3133659
1.598730708,1.318757629,0.856369171,11.96761322,12.07047041
1.608782708,0.846340027,0.658480682,12.87098465,12.91557719
1.618833708,0.818198547,0.693358154,13.7342395,13.77604911
1.628885708,0.818797302,0.79679306,14.20965088,14.25550723
1.638937708,0.657881927,0.586929474,13.81267639,13.8407848
