"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.134916674E-3,1.042034056E0,-4.912345272E-1,-3.205603250E0,3.406323315E0
1.110591667E-2,1.559958783E0,-4.865775123E-1,-3.289500269E0,3.673015260E0
2.107591665E-2,1.890982525E0,-5.372105992E-1,-3.222827393E0,3.775053184E0
3.104591666E-2,1.736880911E0,-4.804154241E-1,-2.945757664E0,3.453265483E0
4.101591665E-2,1.365394144E0,-3.542681783E-1,-2.477109761E0,2.850592900E0
5.098591666E-2,8.765677929E-1,-2.076843292E-1,-1.893926014E0,2.097250491E0
6.095591665E-2,4.446725643E-1,-7.356498957E-2,-1.620659899E0,1.682166461E0
7.092591666E-2,2.414291954E-1,-8.201743215E-2,-1.580081976E0,1.600523029E0
8.089691665E-2,3.709850755E-1,-1.805523714E-1,-1.364590445E0,1.425600283E0
9.086691667E-2,5.975863168E-1,-2.624309322E-1,-1.053820288E0,1.239563068E0
1.008369167E-1,5.275618163E-1,-3.707400772E-1,-3.922031593E-1,7.547138484E-1
1.108069167E-1,4.478601739E-1,-7.891823244E-1,-3.784505081E-1,9.831644133E-1
1.207769167E-1,1.689371699E-1,-1.227138777E0,-4.016604459E-1,1.302205997E0
1.307469167E-1,-2.761078620E-1,-1.227829918E0,-1.829301417E-1,1.271717459E0
1.407169166E-1,-1.638821058E-1,-6.552989200E-1,-4.650466025E-1,8.200868013E-1
1.506879167E-1,8.624175310E-2,-1.551304320E-1,-9.098501444E-2,1.994526604E-1
1.606579167E-1,7.487637386E-2,6.513038099E-2,3.900151312E-1,4.024428413E-1
1.706279167E-1,-2.364393277E-1,1.589460325E-1,6.134103441E-1,6.763428474E-1
1.805979167E-1,-5.173537472E-1,3.892088002E-1,1.105241872E0,1.280897336E0
1.905679167E-1,-5.094738932E-1,3.837831688E-1,1.295832451E0,1.444311223E0
2.005379167E-1,-3.832738763E-1,1.460666630E-1,9.285752678E-1,1.015128742E0
2.105079167E-1,-2.444734021E-1,9.112154692E-2,3.125558960E-1,4.071382674E-1
2.204789167E-1,-3.926772223E-1,-8.270886540E-4,-5.290139723E-1,6.588261287E-1
2.304489167E-1,-1.860646878E-1,3.391724217E-1,-1.858809391E0,1.898639079E0
2.404189167E-1,2.196358918E-1,8.811213121E-1,-2.634135568E0,2.786267195E0
2.503889167E-1,-1.627850220E-1,1.320046356E0,-2.430348993E0,2.770490493E0
2.603589167E-1,-5.992647600E-1,1.682547121E0,-1.840842651E0,2.564914177E0
2.703289167E-1,-1.316613602E0,1.863653516E0,-7.651783347E-1,2.406693518E0
2.802989167E-1,-1.310313958E0,1.710698833E0,-2.531668961E-1,2.169678926E0
2.902699167E-1,-9.010602444E-1,1.043311672E0,4.939476353E-1,1.464374636E0
3.002399167E-1,-2.303640707E-1,1.884370494E-1,7.794443715E-1,8.343318613E-1
3.102099167E-1,1.085450801E-1,-3.759128165E-1,-5.119705081E-2,3.946056488E-1
3.201799167E-1,-2.460118922E0,-6.985422957E-1,5.574671084E-1,2.617425458E0
3.301499167E-1,-4.301226452E0,6.221612871E-2,6.798908472E-2,4.302213657E0
3.401199167E-1,-3.247798220E0,1.310191166E0,-6.602143818E-1,3.563800948E0
3.500899167E-1,-1.627474390E0,1.844376708E0,-1.200279592E0,2.736981810E0
3.600609167E-1,-6.998883247E-1,1.942752603E0,-1.633030853E0,2.632664261E0
3.700309167E-1,-6.287325342E-1,1.879719326E0,-1.681308389E0,2.599124322E0
3.800009167E-1,-5.977033342E-1,1.807882774E0,-1.692865995E0,2.547839217E0
3.899709167E-1,-3.894570876E-1,1.740945603E0,-1.672796597E0,2.445570868E0
3.999409167E-1,9.729174815E-2,1.828297742E0,-1.673401784E0,2.480405581E0
4.099109167E-1,5.967505304E-1,1.954945802E0,-1.641881783E0,2.621774223E0
4.198809167E-1,8.917478956E-1,1.906906832E0,-1.116447476E0,2.382847654E0
4.298509167E-1,9.483161987E-1,1.788155730E0,-6.172309148E-1,2.116076211E0
4.398219167E-1,1.094974746E0,1.693334650E0,9.012313485E-3,2.016539896E0
4.497919166E-1,1.550360725E0,1.383631902E0,8.851468277E-1,2.258659010E0
4.597619167E-1,1.812058124E0,6.836801353E-1,1.507362494E0,2.454203508E0
4.697319167E-1,1.784347438E0,1.409930339E-1,1.806979671E0,2.543413130E0
4.797019167E-1,1.533956508E0,-1.860250729E-1,1.689789775E0,2.289763608E0
4.896719167E-1,1.211620266E0,-4.630565026E-1,1.373326185E0,1.889039387E0
4.996419167E-1,9.349021744E-1,-7.242416856E-1,9.320391583E-1,1.505744031E0
5.096129166E-1,8.189994697E-1,-9.217992219E-1,7.622746074E-1,1.449667725E0
5.195829167E-1,9.891592193E-1,-9.227529028E-1,1.061721046E0,1.719639631E0
5.295529166E-1,1.598600547E0,-6.570603937E-1,1.575779010E0,2.338873993E0
5.395229167E-1,2.142704282E0,-3.797395268E-1,1.876011899E0,2.873117539E0
5.494929167E-1,2.452607589E0,-1.796749967E-1,1.803247393E0,3.049470159E0
5.594629167E-1,2.655195192E0,1.498901573E-1,1.741059916E0,3.178650374E0
5.694329167E-1,2.478315749E0,4.460013440E-1,1.801751091E0,3.096332209E0
5.794039167E-1,1.943477658E0,6.668682209E-1,1.909956740E0,2.805308072E0
5.893739166E-1,9.895910362E-1,8.887183070E-1,2.583709180E0,2.905970368E0
5.993439167E-1,5.115910238E-1,1.041687900E0,4.311778922E0,4.465229729E0
6.093139166E-1,1.085604583E0,1.012635425E0,6.507893718E0,6.675076664E0
6.192839167E-1,2.366274327E0,7.290472198E-1,8.290787539E0,8.652625154E0
6.292539166E-1,3.033516185E0,5.293531108E-1,9.036306365E0,9.546584095E0
6.392239167E-1,2.759396961E0,6.873521867E-1,8.880527185E0,9.324724537E0
6.491949167E-1,2.060744153E0,8.197457206E-1,8.217999644E0,8.512001390E0
6.591649167E-1,1.405244381E0,6.084244233E-1,7.030362318E0,7.195198841E0
6.691349167E-1,7.973217217E-1,3.202420610E-1,5.999869496E0,6.061081659E0
6.791049167E-1,4.208741042E-1,1.413535148E-1,5.403517234E0,5.421726139E0
6.890749166E-1,2.215846226E-1,-3.922780037E-2,4.865769861E0,4.870970633E0
6.990449167E-1,-9.916885056E-2,-3.032059059E-1,3.585593914E0,3.599757214E0
7.090149166E-1,-3.634474298E-1,-4.135130444E-1,1.772275277E0,1.855814303E0
7.189859167E-1,-4.157371791E-1,-1.906861809E-1,-5.170657718E-1,6.903300906E-1
7.289559167E-1,-5.509071171E-1,-3.086484942E-1,-2.456308292E0,2.536180784E0
7.389259167E-1,-8.252628610E-1,-1.506877175E-1,-3.250352576E0,3.356867207E0
7.488959167E-1,-5.764619346E-1,-1.177746177E-1,-3.922587664E0,3.966468606E0
7.588659167E-1,2.627424426E-2,-5.973182219E-1,-4.519602415E0,4.558978546E0
7.688359166E-1,7.183908154E-1,-1.086566450E0,-4.981093326E0,5.148592306E0
7.788059167E-1,1.106854388E0,-1.600234990E0,-5.762264965E0,6.081905637E0
7.887759166E-1,1.155029305E0,-1.945175397E0,-7.008538170E0,7.364605034E0
7.987469167E-1,1.097469899E0,-2.296201294E0,-8.248095263E0,8.631804912E0
8.087169167E-1,1.067303017E0,-2.558806766E0,-9.011058673E0,9.427926930E0
8.186869167E-1,1.141708763E0,-2.694608642E0,-9.117772697E0,9.575917376E0
8.286569167E-1,1.112710886E0,-2.941196836E0,-8.910205312E0,9.448837127E0
8.386269167E-1,9.971343099E-1,-3.266261972E0,-8.475870041E0,9.138003997E0
8.485969167E-1,8.761153646E-1,-3.621661002E0,-8.007235587E0,8.831751145E0
8.585669167E-1,8.396240611E-1,-3.774261636E0,-7.542276692E0,8.475609546E0
8.685379167E-1,1.027800617E0,-3.690562545E0,-7.180843921E0,8.138866347E0
8.785079167E-1,1.376144104E0,-3.480251062E0,-7.090171732E0,8.017259834E0
8.884779167E-1,1.675074818E0,-3.316439854E0,-7.324115322E0,8.212631381E0
8.984479167E-1,1.760284392E0,-3.428918063E0,-7.720406855E0,8.629064968E0
9.084179167E-1,1.586460850E0,-3.531187912E0,-8.074801918E0,8.954807206E0
9.183879167E-1,1.470754392E0,-3.185548762E0,-8.244327317E0,8.959898008E0
9.283579167E-1,1.555753758E0,-2.340153937E0,-8.129901985E0,8.601860060E0
9.383289167E-1,1.859919192E0,-1.231317489E0,-7.279023349E0,7.613121770E0
9.482989167E-1,2.329495925E0,-4.953240699E-1,-5.750085799E0,6.223775695E0
9.582689167E-1,2.832334544E0,6.142704695E-2,-2.688060345E0,3.905324656E0
9.682389167E-1,3.068931600E0,5.782332024E-1,-1.939302746E0,3.676083506E0
9.782089167E-1,3.373783205E0,1.234596608E0,-1.279960184E0,3.813782895E0
9.881789167E-1,3.601542487E0,2.312486959E0,-1.434861113E0,4.514147831E0
9.981489167E-1,3.512480038E0,3.291922478E0,-2.700482755E0,5.519680854E0
1.008118917E0,3.115878018E0,4.239510260E0,-3.502447677E0,6.320544502E0
1.018089917E0,2.503297101E0,4.906189324E0,-3.709997520E0,6.640878832E0
1.028059917E0,1.702946156E0,5.283435305E0,-3.226011202E0,6.420425415E0
1.038029917E0,1.580953065E0,4.720176530E0,-1.955289034E0,5.348143068E0
1.047999917E0,2.313227071E0,3.645110384E0,9.458631456E-2,4.318193576E0
1.057969917E0,3.432403296E0,3.241391133E0,2.366462899E0,5.280923737E0
1.067939917E0,3.933298301E0,3.074652516E0,3.552186432E0,6.127181413E0
1.077909917E0,2.385707548E0,2.638003501E0,3.671988280E0,5.112158145E0
1.087880917E0,9.791090251E-1,2.631644947E0,4.475079376E0,5.283043160E0
1.097850917E0,1.613458175E0,2.970684637E0,5.100232099E0,6.118870971E0
1.107820917E0,2.707078414E0,3.217649099E0,5.191015384E0,6.680432619E0
1.117790917E0,2.769290450E0,2.698598782E0,5.480228026E0,6.707033934E0
1.127760917E0,1.358831522E0,2.332120009E0,4.127687523E0,4.931836487E0
1.137730917E0,-5.328281841E-1,2.224247797E0,1.575604763E0,2.777357468E0
1.147700917E0,-2.316397431E0,2.160683886E0,-6.378628153E-1,3.231272332E0
1.157671917E0,-2.633006178E0,2.561758148E0,-1.820472121E0,4.099932327E0
1.167641917E0,-2.036520454E0,3.166327794E0,-6.497110283E-1,3.820362768E0
1.177611917E0,-5.878517260E-1,3.388702376E0,5.334783799E0,6.347345242E0
1.187581917E0,1.121287947E0,2.791708090E0,8.749483480E0,9.252263609E0
1.197551917E0,2.428206281E0,1.069846337E0,1.292349732E1,1.319308683E1
1.207521917E0,-3.696283753E-1,-2.032549537E-1,1.523774576E1,1.524358335E1
