"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.535416618E-4,4.086428985E-1,-2.102331305E-1,-1.270156158E0,1.350734486E0
1.032454165E-2,1.072037289E-1,-6.122005552E-1,-2.045089402E0,2.137445396E0
2.029554165E-2,2.053568450E-1,-5.019042340E-1,-2.434106998E0,2.493783506E0
3.026654167E-2,5.542134252E-1,1.466671720E-1,-2.646086107E0,2.707477695E0
4.023754166E-2,1.381641510E0,8.595778307E-1,-2.083912575E0,2.643955168E0
5.020854165E-2,2.284980195E0,8.799960154E-1,-1.442529151E0,2.841903910E0
6.017954164E-2,3.095582917E0,8.308210780E-1,-1.366114814E0,3.484130730E0
7.015054167E-2,3.806042131E0,1.265156057E0,-1.753763577E0,4.377472242E0
8.012254167E-2,3.735936646E0,1.598740295E0,-2.414793645E0,4.726988630E0
9.009354166E-2,3.010122060E0,1.492189846E0,-2.981949590E0,4.492158580E0
1.000645416E-1,2.129626692E0,9.609534936E-1,-2.958622708E0,3.769905807E0
1.100355417E-1,1.275302000E0,3.416004780E-1,-3.180566057E0,3.443702444E0
1.200065417E-1,7.673198774E-1,-1.168813093E-1,-3.568228853E0,3.651670602E0
1.299775417E-1,8.875658208E-1,-4.303715904E-1,-3.493257608E0,3.629854200E0
1.399485416E-1,1.349840843E0,-2.756832080E-1,-2.757947436E0,3.082911869E0
1.499195417E-1,1.717760516E0,3.217610215E-1,-1.396747207E0,2.237215704E0
1.598905417E-1,1.886437192E0,4.545795017E-1,-2.516572620E0,3.177802000E0
1.698615417E-1,2.198419184E0,2.087097846E-1,-3.914305667E0,4.494262513E0
1.798325416E-1,2.438853768E0,3.631691024E-2,-3.494974936E0,4.261945145E0
1.898035417E-1,2.500629309E0,-2.590886638E-2,-3.700988715E0,4.466669417E0
1.997745417E-1,2.133195248E0,-3.091327898E-2,-4.157496629E0,4.672927970E0
2.097455417E-1,1.634197957E0,1.644394916E-1,-4.478267278E0,4.769960285E0
2.197165416E-1,1.442100843E0,3.365573276E-1,-4.458235302E0,4.697742829E0
2.296875417E-1,1.568054838E0,2.129273812E-1,-4.259715899E0,4.544151580E0
2.396595417E-1,1.916904109E0,3.746530339E-2,-4.080537915E0,4.508515797E0
2.496305417E-1,1.906891922E0,-3.050906827E-1,-4.202282792E0,4.624770026E0
2.596015416E-1,1.602133288E0,-7.440368494E-1,-4.929360085E0,5.236316716E0
2.695725417E-1,1.226908104E0,-1.054818993E0,-5.882871389E0,6.101321363E0
2.795435417E-1,6.520095688E-1,-1.604752548E0,-6.620559624E0,6.843402440E0
2.895145417E-1,-2.297610766E-1,-2.497692545E0,-7.760733932E0,8.155994689E0
2.994855416E-1,-1.214487449E0,-3.378013081E0,-8.597085160E0,9.316427716E0
3.094565417E-1,-2.101988073E0,-4.140378320E0,-8.706140410E0,9.867014104E0
3.194275417E-1,-2.597229697E0,-4.904455624E0,-8.709530625E0,1.032740097E1
3.293985417E-1,-2.787080019E0,-5.486163535E0,-8.118137972E0,1.018675461E1
3.393695416E-1,-2.885280497E0,-5.987787395E0,-7.878803834E0,1.030795767E1
3.493405417E-1,-2.767919278E0,-6.526439332E0,-6.912601148E0,9.901507063E0
3.593115417E-1,-2.398647729E0,-7.086050030E0,-5.324322546E0,9.182266960E0
3.692825417E-1,-1.867699497E0,-7.710570669E0,-3.587296624E0,8.706887992E0
3.792535417E-1,-1.798988281E0,-8.287699040E0,-2.073739589E0,8.730561843E0
3.892255417E-1,-1.786369405E0,-8.854004799E0,7.762637785E-1,9.065710236E0
3.991965417E-1,-1.230978643E0,-9.470349861E0,1.616302261E0,9.685828199E0
4.091675417E-1,9.312749273E-1,-9.705900850E0,2.157597140E0,9.986341158E0
4.191385416E-1,2.493810579E0,-9.963936138E0,3.208304371E0,1.076068453E1
4.291095417E-1,2.426468196E0,-9.921527452E0,4.070874807E0,1.099529338E1
4.390805417E-1,2.046193357E0,-9.054044479E0,4.380802964E0,1.026421275E1
4.490515417E-1,1.991719526E0,-8.023906583E0,3.788213385E0,9.093986155E0
4.590225416E-1,3.076320142E0,-6.739081516E0,2.865557839E0,7.942945739E0
4.689935417E-1,4.557818647E0,-5.494018099E0,2.068247885E0,7.432065326E0
4.789645417E-1,5.140048714E0,-4.867472570E0,1.933589432E0,7.338334831E0
4.889355417E-1,5.201045698E0,-4.726552041E0,2.067127558E0,7.325584406E0
4.989065416E-1,5.180307963E0,-4.691335139E0,2.224548637E0,7.334359727E0
5.088775417E-1,5.096650094E0,-4.913354502E0,2.572160929E0,7.532124965E0
5.188485417E-1,5.316176205E0,-5.310794427E0,2.974475094E0,8.081693447E0
5.288195417E-1,5.827392422E0,-5.842319779E0,3.615175563E0,9.008923198E0
5.387915417E-1,6.062545216E0,-5.777225066E0,4.593649800E0,9.551565445E0
5.487625417E-1,6.166602851E0,-5.085283107E0,5.386260931E0,9.638407639E0
5.587335417E-1,5.853939366E0,-4.201979614E0,5.752603025E0,9.220503259E0
5.687045417E-1,5.408623608E0,-3.319279554E0,5.648611465E0,8.495742320E0
5.786755416E-1,5.233255670E0,-2.944924728E0,4.841222665E0,7.713428774E0
5.886465417E-1,5.281360713E0,-2.960399092E0,3.623722146E0,7.056068024E0
5.986175417E-1,5.702543258E0,-2.904849374E0,2.581210957E0,6.900710072E0
6.085885417E-1,6.433203140E0,-2.624673019E0,1.798974833E0,7.177138813E0
6.185595416E-1,7.228150819E0,-2.121385041E0,1.459398369E0,7.673088189E0
6.285305417E-1,8.045418490E0,-1.440064550E0,1.491631730E0,8.308279593E0
6.385015417E-1,8.757214669E0,-8.124150664E-1,1.987764469E0,9.016653181E0
6.484725417E-1,9.283519626E0,8.170899153E-2,2.736928158E0,9.678904316E0
6.584435416E-1,9.632331768E0,1.264945119E0,3.165213023E0,1.021765506E1
6.684145417E-1,9.707118825E0,2.475823374E0,3.139571813E0,1.049832217E1
6.783855417E-1,9.441826558E0,3.561089403E0,2.736984876E0,1.045564597E1
6.883565417E-1,9.084714879E0,4.307416314E0,2.051575719E0,1.026132753E1
6.983285416E-1,8.812159785E0,4.755933423E0,1.412192042E0,1.011273203E1
7.082995417E-1,8.688798738E0,5.151029200E0,1.094635315E0,1.016004684E1
7.182705417E-1,8.733389019E0,5.501480316E0,1.215060476E0,1.039301407E1
7.282415417E-1,8.805155405E0,5.738432298E0,1.552328459E0,1.062403363E1
7.382125416E-1,8.783086259E0,5.897006448E0,1.855167452E0,1.074052771E1
7.481835417E-1,8.560636541E0,5.959007399E0,2.046069396E0,1.062923643E1
7.581545417E-1,8.125699006E0,6.059977704E0,1.982198797E0,1.032857329E1
7.681255417E-1,7.580408140E0,6.175499389E0,1.633575228E0,9.913019131E0
7.780965416E-1,7.054706030E0,6.061392730E0,1.053333800E0,9.360495238E0
7.880675417E-1,6.655728287E0,5.940147790E0,4.433057776E-1,8.931998366E0
7.980385417E-1,6.413884524E0,5.905575542E0,-2.991815597E-2,8.718637065E0
8.080095417E-1,6.216225246E0,5.907478226E0,-3.259451428E-1,8.581724509E0
8.179805416E-1,6.041553712E0,5.904070469E0,-4.653142588E-1,8.460197203E0
8.279515417E-1,5.808812310E0,5.721373047E0,-5.316800103E-1,8.170623821E0
8.379225417E-1,5.406222741E0,5.400036387E0,-4.945469749E-1,7.657167493E0
8.478935416E-1,4.929232616E0,4.945070384E0,-5.226951787E-1,7.001733038E0
8.578655416E-1,4.535606829E0,4.282890753E0,-7.477815525E-1,6.282838511E0
8.678365417E-1,4.358606349E0,3.540755711E0,-8.850906944E-1,5.684873424E0
8.778075417E-1,4.429200368E0,2.729370924E0,-9.804672602E-1,5.294204150E0
8.877785417E-1,4.357852643E0,2.087553052E0,-1.084783634E0,4.952323993E0
8.977495416E-1,4.056514045E0,1.946308295E0,-1.209065910E0,4.658890700E0
9.077205417E-1,3.691716785E0,2.177954514E0,-1.363360044E0,4.497889427E0
9.176911667E-1,3.508641633E0,2.502855052E0,-1.343677001E0,4.514456490E0
9.276621667E-1,3.622760571E0,2.506980847E0,-1.349076612E0,4.607532401E0
9.376331667E-1,3.779356608E0,2.255511398E0,-1.274890502E0,4.582162571E0
9.476041667E-1,4.140784117E0,1.954310794E0,-1.036871549E0,4.694733900E0
9.575751667E-1,4.482094281E0,1.704775019E0,-6.764899604E-1,4.842836532E0
9.675461666E-1,4.590581766E0,1.424397520E0,-3.212976296E-1,4.817217185E0
9.775171667E-1,4.492087757E0,9.128246230E-1,-1.478797384E-1,4.586280587E0
9.874881667E-1,4.284678832E0,4.146564674E-1,-1.635768811E-1,4.307803393E0
9.974591667E-1,3.864593809E0,2.215340441E-1,-2.771075897E-1,3.880844143E0
1.007430167E0,3.297963529E0,3.193293107E-1,-3.773350056E-1,3.334803796E0
1.017401167E0,2.813907629E0,4.531481034E-1,-4.605255353E-1,2.887127139E0
1.027373167E0,2.457090064E0,5.034312344E-1,-6.245830576E-1,2.584731821E0
1.037344167E0,2.309303443E0,6.245703399E-1,-7.220339231E-1,2.498860438E0
1.047315167E0,2.279849263E0,8.498676521E-1,-5.594664176E-1,2.496595755E0
1.057286167E0,2.300403396E0,9.511367494E-1,-3.679722977E-1,2.516330764E0
1.067257167E0,2.462241461E0,7.447961104E-1,-2.441760711E-1,2.583984561E0
1.077228167E0,2.748484302E0,4.729888755E-1,-5.462468863E-3,2.788891227E0
1.087199167E0,2.893553138E0,2.622821206E-1,2.894058922E-1,2.919794075E0
1.097170167E0,2.948427503E0,8.971967697E-2,4.634163988E-1,2.985972056E0
1.107141167E0,2.755498622E0,4.370384395E-2,5.024711215E-1,2.801278264E0
1.117112167E0,2.383159039E0,3.195503354E-3,5.343188587E-1,2.442325502E0
1.127083167E0,1.822383576E0,-3.464872885E-1,5.450233564E-1,1.933438853E0
1.137054167E0,1.203579175E0,-1.143144109E0,3.719261849E-1,1.701090936E0
1.147025167E0,5.656099409E-1,-1.977137740E0,2.652824731E-1,2.073490544E0
1.156996167E0,-7.813634276E-2,-2.741826078E0,2.126013990E-1,2.751166095E0
1.166967167E0,-6.010943538E-1,-3.226638608E0,2.882433195E-1,3.294783049E0
1.176938167E0,-1.098119963E0,-3.342965455E0,4.356631744E-1,3.545572999E0
1.186909167E0,-1.523869184E0,-3.333680661E0,5.744411369E-1,3.710200353E0
1.196881167E0,-1.682178454E0,-3.232551312E0,6.188557099E-1,3.696227094E0
1.206852167E0,-1.618185942E0,-2.942703078E0,5.904987605E-1,3.409797052E0
1.216823167E0,-1.332730136E0,-2.635559658E0,7.123197976E-1,3.038049344E0
1.226794167E0,-8.976996303E-1,-2.399299693E0,9.129728499E-1,2.719563029E0
1.236765167E0,-5.065530628E-1,-2.211655526E0,1.160871112E0,2.548654137E0
1.246736167E0,-1.915395820E-1,-2.002836545E0,1.347725320E0,2.421653397E0
1.256707167E0,7.085012734E-2,-1.849129910E0,1.586854514E0,2.437705563E0
1.266678167E0,2.014956361E-1,-1.658755678E0,1.860551276E0,2.500744278E0
1.276649167E0,2.722001678E-1,-1.528488776E0,2.007778027E0,2.538019597E0
1.286620167E0,3.106678301E-1,-1.650133081E0,1.927694854E0,2.556454798E0
1.296591167E0,2.339751649E-1,-1.941572635E0,1.737803602E0,2.616182339E0
1.306562167E0,1.967237234E-2,-2.280276403E0,1.569979449E0,2.768552500E0
1.316533167E0,-2.784479177E-1,-2.761735555E0,1.479806613E0,3.145559430E0
1.326504167E0,-5.643896270E-1,-3.205520512E0,1.595151128E0,3.624693714E0
1.336475167E0,-1.001013499E0,-3.393365823E0,1.851519959E0,3.993129824E0
1.346446167E0,-1.400823301E0,-3.618202667E0,1.927888396E0,4.332487753E0
1.356417167E0,-1.716144345E0,-3.750436279E0,1.965302390E0,4.568734747E0
1.366389167E0,-1.982890815E0,-3.827066379E0,1.923720793E0,4.720063002E0
1.376360167E0,-2.229328735E0,-3.805752693E0,2.008618856E0,4.846463647E0
1.386331167E0,-2.487627733E0,-3.765907135E0,2.000986486E0,4.937033036E0
1.396302167E0,-2.780368584E0,-3.566537254E0,2.041571425E0,4.961718586E0
1.406273167E0,-3.078095942E0,-3.446441292E0,1.952729415E0,5.016551043E0
1.416244167E0,-3.320962383E0,-3.440094139E0,1.706631218E0,5.076970450E0
1.426215167E0,-3.546117607E0,-3.401771488E0,1.441468174E0,5.121018437E0
1.436186167E0,-3.784916725E0,-3.456142115E0,1.231478580E0,5.271342564E0
1.446157167E0,-3.932003435E0,-3.719044625E0,1.046594007E0,5.512467954E0
1.456128167E0,-4.048606855E0,-3.932089681E0,1.023784311E0,5.735911527E0
1.466099167E0,-4.146205071E0,-3.995881927E0,1.099268064E0,5.862292993E0
1.476070167E0,-4.255726343E0,-4.049227830E0,1.183681101E0,5.992374627E0
1.486041167E0,-4.325117006E0,-4.089880012E0,1.296049967E0,6.092085123E0
1.496012167E0,-4.322400389E0,-4.196549013E0,1.361361904E0,6.176364220E0
1.505983167E0,-4.247161927E0,-4.455644401E0,1.252753090E0,6.281762632E0
1.515954167E0,-3.977401217E0,-4.580976252E0,1.081684025E0,6.162394356E0
1.525925167E0,-3.666118260E0,-4.461172358E0,9.557928872E-1,5.852864423E0
1.535896167E0,-3.240026393E0,-4.320112081E0,6.601357368E-1,5.440305011E0
1.545868167E0,-2.769324948E0,-4.122157519E0,3.003939798E-1,4.975095961E0
1.555839167E0,-2.407725531E0,-4.018383182E0,1.085749009E-1,4.685758652E0
